pid,author,tid,title,kana,trans,kousakun,kousakuk,status,statusdate,original,publisher,editionn,editionk,ranking,access,characount,minutes
42,寺田 寅彦,43254,戦争と気象学,新字新仮名,,Nana ohbe,松永正敏,公開,2006/11/28,寺田寅彦全集　第六巻,岩波書店,1997（平成9）年5月6日,1997（平成9）年5月6日,,,,
42,寺田 寅彦,43255,千人針,新字新仮名,,Nana ohbe,noriko saito,公開,2004/12/16,寺田寅彦全集　第七巻,岩波書店,1997（平成9）年6月5日,1997（平成9）年6月5日,,,,
42,寺田 寅彦,2343,相対性原理側面観,新字新仮名,,（株）モモ,かとうかおり,公開,2000/10/3,寺田寅彦随筆集　第二巻,岩波文庫、岩波書店,1997（平成9）年5月6日第70刷,1997（平成9）年5月6日第70刷,,,,
42,寺田 寅彦,4670,颱風雑俎,新字新仮名,,砂場清隆,多羅尾伴内,公開,2003/11/17,寺田寅彦全集　第七巻,岩波書店,1997（平成9）年6月5日,1997（平成9）年6月5日,,,,
42,寺田 寅彦,24411,高浜さんと私,新字新仮名,,Nana ohbe,松永正敏,公開,2004/4/14,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,,,,,
42,寺田 寅彦,24410,鷹を貰い損なった話,新字新仮名,,Nana ohbe,川向直樹,公開,2004/7/9,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,1996（平成8）年12月5日,,,,
42,寺田 寅彦,1682,旅日記から,新字新仮名,,田辺浩昭,かとうかおり、田中敬三,公開,2003/7/5,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年12月15日第81刷,1997（平成9）年12月15日第81刷,,,,
42,寺田 寅彦,2473,田丸先生の追憶,新字新仮名,,（株）モモ,かとうかおり,公開,2003/3/8,寺田寅彦随筆集　第三巻,岩波文庫、岩波書店,1993（平成5）年2月5日第59刷,1997（平成9）年9月5日第64刷,,,,
42,寺田 寅彦,46415,短歌の詩形,新字新仮名,,Nana ohbe,松永正敏,公開,2006/11/28,寺田寅彦全集　第十二巻,岩波書店,1997（平成9）年11月21日,1997（平成9）年11月21日,,,,
42,寺田 寅彦,2445,断水の日,新字新仮名,,（株）モモ,かとうかおり,公開,2003/6/13,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年5月15日第80刷,1997（平成9）年12月15日第81刷,,,,
42,寺田 寅彦,42222,断片（Ⅰ）,新字新仮名,,Nana ohbe,noriko saito,公開,2004/9/12,寺田寅彦全集　第三巻,岩波書店,1997（平成9）年2月5日,1997（平成9）年2月5日,,,,
42,寺田 寅彦,42221,断片（Ⅱ）,新字新仮名,,Nana ohbe,noriko saito,公開,2004/9/12,寺田寅彦全集　第三巻,岩波書店,1997（平成9）年2月5日,1997（平成9）年2月5日,,,,
42,寺田 寅彦,42164,小さな出来事,新字新仮名,,Nana ohbe,noriko saito,公開,2005/3/12,寺田寅彦全集　第二巻,岩波書店,1997（平成9）年1月9日,1997（平成9）年1月9日,,,,
42,寺田 寅彦,2446,蓄音機,新字新仮名,,（株）モモ,かとうかおり,公開,2003/6/1,寺田寅彦随筆集　第二巻,岩波文庫、岩波書店,1997（平成9）年5月6日第70刷,1997（平成9）年5月6日第70刷,,,,
42,寺田 寅彦,2508,地図をながめて,新字新仮名,,田辺浩昭,かとうかおり,公開,2003/6/7,寺田寅彦随筆集　第五巻,岩波文庫、岩波書店,1993（平成5）年10月15日第61刷,1993（平成5）年10月15日第61刷,,,,
42,寺田 寅彦,1694,知と疑い,新字新仮名,,もりみつじゅんじ,多羅尾伴内,公開,2003/4/13,日本の名随筆　別巻76　常識,作品社,1997（平成9）年6月25日第1刷,1997（平成9）年6月25日第1刷,,,,
42,寺田 寅彦,2363,茶わんの湯,新字新仮名,,砂場清隆,田中敬三,公開,2000/10/3,日本の名随筆33　水,作品社,,,,,,
42,寺田 寅彦,43256,チューインガム,新字新仮名,,Nana ohbe,noriko saito,公開,2004/12/17,寺田寅彦全集　第七巻,岩波書店,1997（平成9）年6月5日,1997（平成9）年6月5日,,,,
42,寺田 寅彦,24409,追憶の医師達,新字新仮名,,Nana ohbe,松永正敏,公開,2004/4/14,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,,,,,
42,寺田 寅彦,24408,追憶の冬夜,新字新仮名,,Nana ohbe,松永正敏,公開,2004/4/14,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,,,,,
42,寺田 寅彦,43280,津田青楓君の画と南画の芸術的価値,新字新仮名,,Nana ohbe,松永正敏,公開,2006/9/13,寺田寅彦全集　第八巻,岩波書店,1997（平成9）年7月7日,,,,,
42,寺田 寅彦,4668,津浪と人間,新字新仮名,,砂場清隆,多羅尾伴内,公開,2003/11/17,寺田寅彦全集　第七巻,岩波書店,1997（平成9）年6月5日,1997（平成9）年6月5日,,,,
42,寺田 寅彦,43257,徒然草の鑑賞,新字新仮名,,Nana ohbe,noriko saito,公開,2005/1/6,寺田寅彦全集　第七巻,岩波書店,1997（平成9）年6月5日,1997（平成9）年6月5日,,,,
42,寺田 寅彦,43281,帝展を見ざるの記,新字新仮名,,Nana ohbe,松永正敏,公開,2006/9/13,寺田寅彦全集　第八巻,岩波書店,1997（平成9）年7月7日,,,,,
42,寺田 寅彦,2466,「手首」の問題,新字新仮名,,（株）モモ,かとうかおり,公開,2003/7/11,寺田寅彦随筆集　第三巻,岩波文庫、岩波書店,1993（平成5）年2月5日第59刷,1997（平成9）年9月5日第64刷,,,,
42,寺田 寅彦,2441,田園雑感,新字新仮名,,（株）モモ,かとうかおり,公開,2003/6/13,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年5月15日第80刷,1997（平成9）年12月15日第81刷,,,,
42,寺田 寅彦,2509,天災と国防,新字新仮名,,（株）モモ,かとうかおり,公開,2003/3/14,寺田寅彦随筆集　第五巻,岩波文庫、岩波書店,1997（平成9）年9月5日第65刷,,,,,
42,寺田 寅彦,42388,電車と風呂,新字新仮名,,砂場清隆,noriko saito,公開,2004/12/17,寺田寅彦全集　第七巻,岩波書店,1997（平成9）年6月5日,1997（平成9）年6月5日,,,,
42,寺田 寅彦,2449,電車の混雑について,新字新仮名,,（株）モモ,かとうかおり,公開,2003/7/11,寺田寅彦随筆集　第二巻,岩波文庫、岩波書店,1997（平成9）年5月6日第70刷,1997（平成9）年5月6日第70刷,,,,
42,寺田 寅彦,1691,天文と俳句,旧字旧仮名,,内田明,hongming,公開,2003/11/20,科學と文學,角川書店,1949（昭和24）年9月20日3版, ,,,,
42,寺田 寅彦,43080,凍雨と雨氷,新字新仮名,,Nana ohbe,松永正敏,公開,2006/11/28,寺田寅彦全集　第六巻,岩波書店,1997（平成9）年5月6日,1997（平成9）年5月6日,,,,
42,寺田 寅彦,24407,東上記,新字新仮名,,Nana ohbe,松永正敏,公開,2004/4/14,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,,,,,
42,寺田 寅彦,2337,解かれた象,新字新仮名,,田辺浩昭,かとうかおり,公開,1999/11/24,寺田寅彦随筆集　第二巻,岩波文庫、岩波書店,1997（平成9）年5月6日第70刷,1997（平成9）年5月6日第70刷,,,,
42,寺田 寅彦,2362,時の観念とエントロピーならびにプロバビリティ,新字新仮名,,富田倫生,かとうかおり,公開,2000/10/3,日本の名随筆91　時,作品社,,,,,,
42,寺田 寅彦,2464,読書の今昔,新字新仮名,,（株）モモ,かとうかおり,公開,2003/4/30,寺田寅彦随筆集　第三巻,岩波文庫、岩波書店,1993（平成5）年2月5日第59刷,1997（平成9）年9月5日第64刷,,,,
42,寺田 寅彦,43081,土佐の地名,新字新仮名,,Nana ohbe,浅原庸子,公開,2005/8/29,寺田寅彦全集　第六巻,岩波書店,1997（平成9）年5月6日,　,,,,
42,寺田 寅彦,827,どんぐり,新字新仮名,,田辺浩昭,田中敬三,公開,1999/11/24,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年12月15日第81刷,1997（平成9）年12月15日第81刷,,,,
42,寺田 寅彦,2340,とんびと油揚,新字新仮名,,田辺浩昭,かとうかおり,公開,1999/11/24,寺田寅彦随筆集　第四巻,岩波文庫、岩波書店,1997（平成9）年6月13日第65刷,1997（平成9）年6月13日第65刷,,,,
42,寺田 寅彦,43282,中村彝氏の追憶,新字新仮名,,Nana ohbe,松永正敏,公開,2006/9/13,寺田寅彦全集　第八巻,岩波書店,1997（平成9）年7月7日,,,,,
42,寺田 寅彦,42230,夏,新字新仮名,,Nana ohbe,noriko saito,公開,2004/9/14,寺田寅彦全集　第三巻,岩波書店,1997（平成9）年2月5日,1997（平成9）年2月5日,,,,
42,寺田 寅彦,43034,夏の小半日,新字新仮名,,Cyobirin,松永正敏,公開,2006/9/1,寺田寅彦全集　第一巻,岩波書店,1960（昭和35）年10月7日第1刷,,,,,
42,寺田 寅彦,43569,夏目先生の俳句と漢詩,新字新仮名,,Nana ohbe,青野弘美,公開,2006/11/23,寺田寅彦全集　第十二巻,岩波書店,1997（平成9）年11月21日,1997（平成9）年11月21日,,,,
42,寺田 寅彦,2472,夏目漱石先生の追憶,新字新仮名,,（株）モモ,かとうかおり,公開,2003/3/8,寺田寅彦随筆集　第三巻,岩波文庫、岩波書店,1993（平成5）年2月5日第59刷,1997（平成9）年9月5日第64刷,,,,
42,寺田 寅彦,42165,鉛をかじる虫,新字新仮名,,Nana ohbe,川向直樹,公開,2004/9/30,寺田寅彦全集　第二巻,岩波書店,1997（平成9）年1月9日,1997（平成9）年1月9日,,,,
